,tp,t2m,t2m_d18O,t2m_dexc,decimalyear
2003-12-04,0.11682510348,243.88254208333333,-45.34105437916666,-45.34105437916666,2003.9232876712329
2003-12-05,0.2985000609,244.9352275,-44.82523852499999,-44.82523852499999,2003.9260273972602
2003-12-06,0.39386749249999997,246.69816500000002,-43.96139914999998,-43.96139914999998,2003.9287671232876
2003-12-07,0.667572022,249.00721625000003,-42.82996403749998,-42.82996403749998,2003.9315068493152
2003-12-08,0.536918642,247.97982958333333,-43.33338350416666,-43.33338350416666,2003.9342465753425
2003-12-09,0.30088424480000003,248.91092416666666,-42.87714715833332,-42.87714715833332,2003.9369863013699
2003-12-10,0.0,244.97728375,-44.80463096249999,-44.80463096249999,2003.9397260273972
2003-12-11,0.00047683716000000004,243.66859875,-45.44588661249999,-45.44588661249999,2003.9424657534246
2003-12-12,0.0,243.72051166666665,-45.420449283333326,-45.420449283333326,2003.945205479452
2003-12-13,0.039100647120000005,242.58959041666665,-45.97460069583333,-45.97460069583333,2003.9479452054795
2003-12-14,0.025749206760000004,243.251295,-45.65036544999999,-45.65036544999999,2003.9506849315069
2003-12-15,0.00667572022,243.17818166666666,-45.686190983333326,-45.686190983333326,2003.9534246575342
2003-12-16,0.0314712524,242.28534750000003,-46.123679724999974,-46.123679724999974,2003.9561643835616
2003-12-17,0.0357627868,241.56636625,-46.47598053749999,-46.47598053749999,2003.958904109589
2003-12-18,0.053882598899999995,242.09571416666665,-46.21660005833333,-46.21660005833333,2003.9616438356165
2003-12-19,0.0467300415,241.29955375,-46.606718662499986,-46.606718662499986,2003.964383561644
2003-12-20,0.012874603060000002,239.97572708333334,-47.255393729166656,-47.255393729166656,2003.9671232876713
2003-12-21,0.05912780752,241.04295166666668,-46.73245368333332,-46.73245368333332,2003.9698630136986
2003-12-22,0.12302398642000001,241.76548916666664,-46.378410308333336,-46.378410308333336,2003.972602739726
2003-12-23,0.026226043419999998,241.90632041666666,-46.309402995833324,-46.309402995833324,2003.9753424657533
2003-12-24,0.05626678486,245.63650041666665,-44.48161479583333,-44.48161479583333,2003.978082191781
