,precip,evap,precipHDO,precipH218O,evapH218O,tsol,decimalyear,precipd18O,tp,precip_adjust,tp_adjust
1980-01-26 12:00:00,1.6975909e-07,1.796639e-07,1.6738997e-11,3.220275e-10,3.3656183e-10,236.72581,1980.068306010929,-53.97584376594379,0.014667185376,1.46593555217161e-07,0.0126562264145644
1980-01-27 12:00:00,8.9168786e-08,9.777093e-08,8.881452e-12,1.6937544e-10,1.832153e-10,237.27962,1980.0710382513664,-52.716687963254145,0.0077041831104,7.70007034918614e-08,0.0066478934631886
1980-01-28 12:00:00,1.0050165e-06,7.163692e-08,1.0601924e-10,1.925336e-09,1.3398435e-10,238.33278,1980.0737704918035,-44.621104270721204,0.0868334256,8.678707089376357e-07,0.0749280428775458
1980-01-29 12:00:00,2.0526231e-07,7.219049e-08,2.006348e-11,3.892501e-10,1.3436452e-10,236.9643,1980.0765027322404,-54.28163054640201,0.017734663584,1.772519620303515e-07,0.015303134988156
1980-01-30 12:00:00,1.02090844e-07,1.2922652e-07,9.971349e-12,1.9324033e-10,2.420475e-10,233.59084,1980.0792349726776,-56.04067658091617,0.0088206489216,8.815940152059353e-08,0.0076112851248082
1980-01-31 12:00:00,5.451615e-08,8.443402e-08,5.291162e-12,1.0307879e-10,1.5810525e-10,232.47159,1980.0819672131147,-57.054834653530904,0.00471019536,4.707680893701793e-08,0.0040643993653026
1980-02-01 12:00:00,7.2922006e-08,8.155824e-08,6.9801044e-12,1.3766079e-10,1.5276917e-10,231.82939,1980.084699453552,-58.55716503678734,0.0063004613184,6.297097912758102e-08,0.005436630336203
1980-02-02 12:00:00,1.0339445e-07,6.327995e-08,1.0016411e-11,1.9593138e-10,1.1854816e-10,231.29242,1980.0874316939887,-54.962430413966786,0.00893328048,8.928511583811504e-08,0.0077084742219657
1980-02-03 12:00:00,1.977108e-07,3.6532214e-08,1.8947725e-11,3.751577e-10,6.8402055e-11,230.61006,1980.0901639344263,-53.70667796250986,0.01708221312,1.7073094039811993e-07,0.0147401393905014
1980-02-04 12:00:00,1.8803317e-07,2.4193646e-08,1.787986e-11,3.5643888e-10,4.4933095e-11,230.25995,1980.092896174864,-54.64939459802446,0.016246065888,1.6237393172320153e-07,0.0140186329519573
1980-02-05 12:00:00,1.03725384e-07,1.2634656e-09,9.681618e-12,1.959003e-10,1.810313e-12,230.59222,1980.0956284153008,-58.1269861974515,0.0089618731776,8.957089017633889e-08,0.0077331466894741
1980-02-06 12:00:00,3.655981e-07,2.136707e-08,3.3711645e-11,6.922359e-10,3.9744492e-11,230.84329,1980.0983606557377,-55.738043989428064,0.0315876758399999,3.157081323871326e-07,0.0272568162938112
1980-02-07 12:00:00,2.5481387e-07,2.9106195e-08,2.3534633e-11,4.8213095e-10,5.421254e-11,230.06512,1980.1010928961748,-56.407996387199304,0.022015918368,2.2004165504152682e-07,0.0189974040994883
1980-02-08 12:00:00,1.11615584e-07,1.8049021e-09,1.0185614e-11,2.1009161e-10,3.4142732e-12,229.42972,1980.103825136612,-61.301384445162874,0.0096435864575999,9.638438375346894e-08,0.0083213929957908
1980-02-09 12:00:00,8.403352e-07,1.3842336e-08,8.3126686e-11,1.6040541e-09,2.52698e-11,230.40898,1980.1065573770493,-48.0617885422553,0.07260496128,7.256620222347095e-07,0.0626503862345653
1980-02-10 12:00:00,5.139487e-06,2.8382225e-08,5.50615e-10,9.884635e-09,5.1784962e-11,235.43661,1980.1092896174864,-40.85742450065658,0.4440516768,4.438146265524758e-06,0.3831695323455778
1980-02-11 12:00:00,4.3964383e-06,4.7492662e-08,4.955141e-10,8.493912e-09,8.817438e-11,237.82715,1980.1120218579235,-36.50585762305969,0.3798522691200001,3.79649490751801e-06,0.3277722479689485
1980-02-12 12:00:00,8.006797e-07,7.4248874e-08,9.0089054e-11,1.5458468e-09,1.3811971e-10,234.66148,1980.114754098361,-37.16928183328296,0.06917872608,6.914179606712661e-07,0.0596939084012854
1980-02-13 12:00:00,2.9885015e-08,6.521656e-08,2.7411996e-12,5.634099e-11,1.2205975e-10,229.53566,1980.1174863387976,-59.81503935314859,0.002582065296,2.5806868996341733e-08,0.0022280486791172
1980-02-14 12:00:00,4.446631e-07,2.1938356e-09,4.6399662e-11,8.51116e-10,3.8614233e-12,230.07556,1980.120218579235,-45.4471744746321,0.03841889184,3.839838249774077e-07,0.0331514316659104
1980-02-15 12:00:00,5.3268036e-07,-1.5606648e-08,5.729803e-11,1.0241388e-09,-3.072195e-11,232.40779,1980.122950819672,-41.18583952982259,0.046023583104,4.599901411273895e-07,0.0397134742107284
1980-02-16 12:00:00,9.941152e-07,4.7564058e-08,1.07952265e-10,1.9161948e-09,8.862325e-11,232.70956,1980.1256830601087,-38.73031344599365,0.08589155328,8.584570137800517e-07,0.0741153068937873
1980-02-17 12:00:00,2.2041652e-06,-1.8893967e-08,2.28809e-10,4.2329447e-09,-3.7219585e-11,232.95947,1980.1284153005463,-42.27514700783986,0.19043987328,1.903382098442827e-06,0.1643294260490194
1980-02-18 12:00:00,1.9377984e-07,-5.4342202e-08,1.8719446e-11,3.6890968e-10,-1.0517946e-10,229.59996,1980.131147540984,-50.59008668214716,0.016742578176,1.6733640404771624e-07,0.0144470704315043
1980-02-19 12:00:00,4.9571454e-08,4.4972783e-08,4.4700723e-12,9.359542e-11,8.426285e-11,225.10567,1980.1338797814208,-58.4026144132055,0.0042829736256,4.280687225140025e-08,0.0036957522894542
1980-02-20 12:00:00,3.4843103e-07,-7.1244415e-08,3.5454792e-11,6.6656275e-10,-1.3495223e-10,227.66588,1980.136612021858,-45.96014148185304,0.0301044409919999,3.0088370193123253e-07,0.025976941827032
1980-02-21 12:00:00,1.387899e-06,-1.0744436e-07,1.3874521e-10,2.6538016e-09,-2.0388537e-10,230.19226,1980.139344262295,-46.42931185318345,0.1199144736,1.1985045907841668e-06,0.1034734810639457
1980-02-22 12:00:00,1.1994676e-06,-3.742231e-08,1.1966275e-10,2.2929179e-09,-7.1553784e-11,229.22171,1980.142076502732,-46.672134624900075,0.1036340006399999,1.0357867720178963e-06,0.0894251584556342
1980-02-23 12:00:00,1.1410167e-06,-6.734387e-08,1.13645315e-10,2.1816273e-09,-1.2813375e-10,229.30916,1980.1448087431693,-46.47768145036648,0.09858384288,9.85312153918549e-07,0.0850674075715133
1980-02-24 12:00:00,9.604771e-07,-6.1601675e-08,9.598009e-11,1.8365501e-09,-1.1699461e-10,228.6387,1980.1475409836064,-46.417945506884166,0.08298522144,8.29409210391436e-07,0.0716074505559867
1980-02-25 12:00:00,1.2668039e-06,-4.2162544e-08,1.2555254e-10,2.4201556e-09,-8.009022e-11,227.5881,1980.150273224044,-47.2560459967365,0.10945185696,1.0939342774750082e-06,0.0944453518291911
1980-02-26 12:00:00,8.832755e-07,-3.898294e-09,8.688465e-11,1.6851618e-09,-7.514825e-12,224.0993,1980.1530054644809,-48.5461549243853,0.0763150032,7.627426359390564e-07,0.0658517591867255
1980-02-27 12:00:00,2.3483517e-06,-7.15427e-09,2.3407598e-10,4.484516e-09,-1.3494646e-11,224.61519,1980.155737704918,-47.65404280953601,0.20289758688,2.027892730829695e-06,0.1750791125012949
1980-02-28 12:00:00,8.9891205e-07,-2.9743097e-08,9.6434645e-11,1.7283978e-09,-5.6056874e-11,225.01924,1980.1584699453551,-41.109962098301445,0.07766600112,7.762454030417246e-07,0.0670175272003421
1980-02-29 12:00:00,1.0978939e-06,8.369058e-09,1.2177409e-10,2.118198e-09,1.5668926e-11,223.78304,1980.1612021857925,-37.83736885432298,0.09485803296,9.480739443892768e-07,0.0818524285065927
1980-03-01 12:00:00,1.14033085e-07,-3.2041857e-08,1.0658171e-11,2.1640564e-10,-6.007739e-11,222.82224,1980.1639344262296,-53.58850703528529,0.009852458544,9.847198958553984e-08,0.0085016274681448
1980-03-02 12:00:00,1.8233134e-08,5.7440506e-09,1.5624649e-12,3.434375e-11,1.0809348e-11,218.2479,1980.1666666666667,-60.647286097672335,0.0015753427776,1.574501804769863e-08,0.0013593538475676
1980-03-03 12:00:00,7.475846e-09,7.030784e-09,6.4152037e-13,1.4038666e-11,1.3213051e-11,215.7904,1980.169398907104,-63.499962166259536,0.0006459130944,6.455682834986877e-09,0.000557354540581
1980-03-04 12:00:00,5.3701875e-08,5.2035993e-09,4.9926105e-12,1.0199111e-10,9.7622015e-12,216.11627,1980.172131147541,-52.857830513771574,0.004639842,4.637365090775157e-08,0.004003691872327
1980-03-05 12:00:00,4.4653483e-08,-7.506711e-09,4.123058e-12,8.473502e-11,-1.4042531e-11,218.21251,1980.174863387978,-53.6541094532913,0.0038580609312,3.8560013639323e-08,0.0033290976703922
1980-03-06 12:00:00,1.3377763e-07,-1.1426561e-08,1.20257155e-11,2.530494e-10,-2.1592925e-11,222.7086,1980.1775956284152,-56.66897470869581,0.011558387232,1.1552216962417705e-07,0.0099736631156766
1980-03-07 12:00:00,2.0764212e-06,-1.7401854e-08,1.9100714e-10,3.9365893e-09,-3.2647312e-11,222.93016,1980.1803278688524,-54.531732253167114,0.17940279168,1.7930702022276612e-06,0.1548055944409322
1980-03-08 12:00:00,1.185646e-07,-7.217128e-08,1.0420775e-11,2.2395509e-10,-1.3557797e-10,222.08832,1980.1830601092893,-58.00586019612342,0.01024398144,1.0238512845998769e-07,0.0088394702301495
1980-03-09 12:00:00,1.6943599e-07,-8.847154e-08,1.5934285e-11,3.2198585e-10,-1.6721882e-10,223.34358,1980.1857923497269,-52.29444532475504,0.014639269536,1.4631454584163561e-07,0.0126321380034252
1980-03-10 12:00:00,1.6127848e-07,-2.5653628e-07,1.5340602e-11,3.0669042e-10,-4.866143e-10,228.39845,1980.188524590164,-51.65558120703053,0.0139344606719999,1.3927021971677509e-07,0.0120239626560014
1980-03-11 12:00:00,3.9370562e-07,-7.8136125e-08,3.8236973e-11,7.502437e-10,-1.4768253e-10,223.8016,1980.191256830601,-49.67304648162731,0.034016165568,3.399800655433333e-07,0.0293523455351138
1980-03-12 12:00:00,8.322555e-08,-1.0228369e-08,7.538943e-12,1.575512e-10,-1.902179e-11,219.41846,1980.1939890710385,-55.92315602496379,0.00719068752,7.18684888061287e-08,0.006204801193719
1980-03-13 12:00:00,2.6554117e-08,-8.51142e-08,2.2143632e-12,4.990833e-11,-1.5984047e-10,224.78427,1980.196721311476,-62.68950973973709,0.0022942757088,2.2930509445370226e-08,0.0019797167679847
1980-03-14 12:00:00,9.039373e-09,-2.1444254e-08,7.374781e-13,1.6966983e-11,-4.029633e-11,222.70169,1980.1994535519125,-63.9293652575944,0.0007810018272,7.805849012291562e-09,0.0006739217990253
1980-03-15 12:00:00,1.6032283e-08,-6.141322e-08,1.4443842e-12,3.032973e-11,-1.1603386e-10,223.65385,1980.2021857923496,-56.55740984356773,0.0013851892511999,1.3844497889436448e-08,0.0011952715085263
1980-03-16 12:00:00,2.6369268e-08,2.5600339e-10,2.3113768e-12,4.977163e-11,4.5280048e-13,217.84969,1980.204918032787,-58.704258576666305,0.0022783047552,2.2770885167881843e-08,0.0019659355277783
1980-03-17 12:00:00,7.259044e-09,-8.544438e-09,5.798727e-13,1.3582827e-11,-1.5855785e-11,215.9743,1980.207650273224,-66.84659635636265,0.0006271814016,6.268465903285658e-09,0.0005411910750539
1980-03-18 12:00:00,4.660913e-08,-6.344716e-09,3.9930698e-12,8.780012e-11,-1.1823443e-11,212.74594,1980.2103825136608,-60.56569091036301,0.004027028832,4.024879063783174e-08,0.0034748990599906
1980-03-19 12:00:00,1.04764766e-07,-4.9490204e-08,8.34193e-12,1.9612031e-10,-9.187081e-11,216.62961,1980.2131147540983,-66.42410899278848,0.0090516757824,9.046843682676405e-08,0.0078106368193
1980-03-20 12:00:00,9.818942e-09,-1.0714146e-08,7.696563e-13,1.8359158e-11,-1.993615e-11,212.695,1980.215846994536,-67.53966082780025,0.0008483565888,8.479037065120349e-09,0.000732041819401
1980-03-21 12:00:00,1.6568493e-06,-8.6822896e-09,1.679898e-10,3.1711216e-09,-1.6186445e-11,212.0676,1980.2185792349728,-45.508223037870735,0.14315177952,1.4307536011536385e-06,0.1235248131667806
